V1,V2,V3
-2.96795454545454,58.4622222222222,-69.7128372192383
-2.79954545454545,58.4622222222222,-54.9806709289551
-2.63113636363636,58.4622222222222,-52.9306716918945
-2.46272727272727,58.4622222222222,-59.4606704711914
-2.29431818181818,58.4622222222222,-62.010669708252
-2.12590909090909,58.4622222222222,-86.2606735229492
-1.9575,58.4622222222222,-93.3906707763672
-1.78909090909091,58.4622222222222,-99.8099899291992
-1.62068181818182,58.4622222222222,-107.549987792969
-1.45227272727272,58.4622222222222,-92.7999877929688
-1.28386363636363,58.4622222222222,-88.2899932861328
-1.11545454545454,58.4622222222222,-94.8299865722656
-0.947045454545453,58.4622222222222,-110.699989318848
-0.778636363636362,58.4622222222222,-110.002502441406
-0.61022727272727,58.4622222222222,-113.832504272461
-0.44181818181818,58.4622222222222,-126.902503967285
-0.273409090909089,58.4622222222222,-127.23250579834
-0.104999999999999,58.4622222222222,-131.642501831055
0.0634090909090919,58.4622222222222,-136.892501831055
0.231818181818184,58.4622222222222,-139.702499389648
0.400227272727275,58.4622222222222,-145.135009765625
0.568636363636365,58.4622222222222,-148.05500793457
0.737045454545456,58.4622222222222,-147.324996948242
0.905454545454548,58.4622222222222,-146.315002441406
1.07386363636364,58.4622222222222,-137.875
1.24227272727273,58.4622222222222,-129.675003051758
1.41068181818182,58.4622222222222,-119.784996032715
1.57909090909091,58.4622222222222,-111.244995117188
1.7475,58.4622222222222,-94.004997253418
1.91590909090909,58.4622222222222,-81.2249908447266
2.08431818181818,58.4622222222222,-79.254997253418
2.25272727272727,58.4622222222222,-81.9649963378906
2.42113636363636,58.4622222222222,-70.5792999267578
2.58954545454545,58.4622222222222,-70.6092987060547
2.75795454545455,58.4622222222222,-73.9793014526367
2.92636363636364,58.4622222222222,-84.3393020629883
3.09477272727273,58.4622222222222,-102.329299926758
3.26318181818182,58.4622222222222,-108.189300537109
3.43159090909091,58.4622222222222,-112.379302978516
3.6,58.4622222222222,-127.867057800293
3.76840909090909,58.4622222222222,-132.397064208984
3.93681818181818,58.4622222222222,-133.917053222656
4.10522727272727,58.4622222222222,-152.077056884766
4.27363636363636,58.4622222222222,-267.797058105469
4.44204545454546,58.4622222222222,-291.677062988281
4.61045454545455,58.4622222222222,-297.445678710938
4.77886363636364,58.4622222222222,-296.985656738281
4.94727272727273,58.4622222222222,-305.875671386719
5.11568181818182,58.4622222222222,-314.545684814453
5.28409090909091,58.4622222222222,-322.0556640625
5.4525,58.4622222222222,-328.965667724609
5.62090909090909,58.4622222222222,-337.633453369141
5.78931818181818,58.4622222222222,-299.773468017578
5.95772727272728,58.4622222222222,-220.703460693359
6.12613636363637,58.4622222222222,-100.653457641602
6.29454545454546,58.4622222222222,113.426544189453
6.46295454545455,58.4622222222222,267.896545410156
6.63136363636364,58.4622222222222,201.566543579102
6.79977272727273,58.4622222222222,212.850677490234
6.96818181818182,58.4622222222222,270.9306640625
7.13659090909091,58.4622222222222,436.260681152344
7.305,58.4622222222222,343.490661621094
7.47340909090909,58.4622222222222,284.460662841797
7.64181818181818,58.4622222222222,317.240661621094
7.81022727272727,58.4622222222222,285.245025634766
7.97863636363637,58.4622222222222,203.285018920898
8.14704545454546,58.4622222222222,220.385025024414
8.31545454545455,58.4622222222222,150.535018920898
8.48386363636364,58.4622222222222,75.3450241088867
8.65227272727273,58.4622222222222,6.65502071380615
8.82068181818182,58.4622222222222,-90.60498046875
8.98909090909091,58.4622222222222,-362.364013671875
9.1575,58.4622222222222,-402.254028320312
9.32590909090909,58.4622222222222,-450.304016113281
9.49431818181818,58.4622222222222,-639.473999023438
9.66272727272727,58.4622222222222,-646.664001464844
9.83113636363636,58.4622222222222,-575.10400390625
9.99954545454545,58.4622222222222,-511.37255859375
10.1679545454545,58.4622222222222,-468.772583007812
10.3363636363636,58.4622222222222,-391.782562255859
10.5047727272727,58.4622222222222,-326.932556152344
10.6731818181818,58.4622222222222,-254.342575073242
10.8415909090909,58.4622222222222,-131.342575073242
11.01,58.4622222222222,-92.597282409668
11.1784090909091,58.4622222222222,-51.8172836303711
11.3468181818182,58.4622222222222,-15.7072849273682
11.5152272727273,58.4622222222222,19.5927143096924
11.6836363636364,58.4622222222222,43.1927146911621
11.8520454545455,58.4622222222222,39.6927146911621
12.0204545454545,58.4622222222222,73.0527114868164
12.1888636363636,58.4622222222222,78.0399627685547
12.3572727272727,58.4622222222222,51.7799644470215
12.5256818181818,58.4622222222222,90.9399642944336
12.6940909090909,58.4622222222222,54.4199638366699
12.8625,58.4622222222222,80.579963684082
13.0309090909091,58.4622222222222,72.6299667358398
13.1993181818182,58.4622222222222,74.3999786376953
13.3677272727273,58.4622222222222,92.5199813842773
